numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000392|00000095|AUTO REPUESTOS PICHA, C.A.|20240717|OK||58.3500|34|01
DV000393|00000048|REPUESTOS EL MILENIUM C.A|20240717|OK||126.7400|34|01
DV000394|00000393|CARS PARTS SUR, C.A|20240717|OK||19.5000|04|01
DV000395|00000689|COMERCIALIZADORA ASIATICA, C.A.|20240717|OK|NC000779|116.9600|04|01
DV000396|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)|20240717|OK|NC000780|80.8500|21|03
DV000397|00000621|REPUESTOS SUPER CASANOVA. C.A|20240717|OK||9.4800|06|01
DV000398|00000474|RL REPRESENTACIONES MARA C.A.|20240717|OK||26.8000|04|01
DV000399|00000763|KATHAL CARS, C.A (KATHAL CARS, C.A)|20240718|OK||39.9000|12|01
DV000400|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20240719|OK||18.0300|02|01
DV000401|00000400|AUTOREPUESTOS ENRIQUETA, C.A. (AUTOREPUESTOS ENRIQUETA, C.A.)|20240723|OK|NC000785|19.3200|02|01
DV000402|00000703|SERVIREPUESTOS CAGUA, C.A.|20240801|OK|NC000786|156.2600|02|01
DV000403|00000747|MUNDO DEL REPUESTO 2.0 MILENIUM, C.A|20240801|OK||19.6200|02|01
DV000404|00000754|AUTOMASTER HM, C.A|20240801|OK||15.9400|02|01
DV000405|00000492|MONACO AUTOPARTS #1, C.A. (MONACO AUTOPARTS #1, C.A.)|20240801|OK||62.6400|04|01
DV000406|00000061|COVECA CABUDARE CA|20240801|OK|NC000790|65.9800|30|01
DV000407|00000685|AUTO REPUESTOS FRANK CARS C.A.|20240805|OK|NC000791|60.8700|33|01
DV000408|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20240807|OK||13.8100|01|01
DV000409|00000321|SUREPUESTO CAGUA C.A|20240809|OK|NC000793|98.5000|02|01
DV000410|00000763|KATHAL CARS, C.A (KATHAL CARS, C.A)|20240812|OK||102.8000|12|01
DV000411|00000729|LA 13 AUTO REPUESTOS, C.A.|20240812|OK||190.9600|04|01
DV000412|00000095|AUTO REPUESTOS PICHA, C.A.|20240813|OK||14.8400|34|01
DV000413|00000095|AUTO REPUESTOS PICHA, C.A.|20240813|OK||14.8400|34|01
DV000414|00000754|AUTOMASTER HM, C.A|20240813|OK||28.2100|02|01
DV000415|00000754|AUTOMASTER HM, C.A|20240813|OK||55.5700|02|01
DV000416|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)|20240813|OK||69.3300|19|01
DV000417|00000244|REPUESTOS SAFIURI C.A|20240813|OK||30.7200|19|01
DV000418|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20240813|OK||101.9700|02|01
DV000419|00000378|REPUESTOS SUPER VICTORIA, C.A|20240813|OK||31.5100|06|01
DV000420|00000539|INVERSIONES MAGNUN XVI , C.A.  (INVERSIONES MAGNUN XVI , C.A. )|20240813|OK||8.7600|25|01
DV000421|00000707|AUTOPARTES KOREA JAPON C.A.|20240813|OK||31.2100|25|01
DV000422|00000095|AUTO REPUESTOS PICHA, C.A.|20240813|OK||27.9800|34|01
DV000423|00000219|INVERSIONES SUPER JUNIN 1212, C.A|20240813|OK||48.8300|06|01
DV000424|00000644|AUTOPARTES SJV,C.A|20240813|OK||46.6800|19|01
DV000425|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20240814|OK||490.0000|02|01
DV000426|00000039|MGA AUTOPARTES, C.A.|20240815|OK|NC000812|92.1800|02|01
DV000427|00000513|MARRERO'S CAR, C.A. (MARRERO'S CAR, C.A.)|20240819|OK||63.7500|30|01
DV000428|00000710|VENEREPUESTOS YJJ, C.A.|20240821|OK|NC000815|55.6200|19|01
DV000429|00000710|VENEREPUESTOS YJJ, C.A.|20240821|OK|NC000816|75.7200|19|01
DV000430|00000631|DORAUTO IMPORTS, C.A|20240821|OK||93.1800|02|01
