numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000138|00000536|REIKO IMPORT, C.A. (REIKO IMPORT, C.A.)|20231031|OK|NC000519|80.3800|19|01
DV000139|00000682|DISTRIBUIDORA XIAMEN C.A.|20231031|OK|NC000517|38.3900|02|01
DV000140|00000318|MUNDO KOREA 1128 C.A|20231031|OK|NC000518|16.4700|02|01
DV000141|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20231102|OK|NC000524|176.1400|02|01
DV000142|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20231102|OK|NC000525|176.1400|02|01
DV000143|00000403|G.C AUTOPARTES C.A|20231102|OK|NC000523|14.9000|29|01
DV000144|00000021|ARTUNINGCARÔS EXPRESS, C.A.|20231102|OK|NC000522|28.5800|34|01
DV000145|00000021|ARTUNINGCARÔS EXPRESS, C.A.|20231102|OK|NC000522|48.0600|34|01
DV000146|00000046|SURTIDORA DE RESPUESTOS KOREANOS,C.A.|20231107|OK|NC000526|14.9000|02|01
DV000147|00000699|REDDY MOTOR S CA|20231107|OK|NC000527|72.5000|21|01
DV000148|00000320|AUTO REPUESTOS ANGULO C.A|20231109|OK|NC000530|19.2500|25|01
DV000149|00000051|REYREP, C.A.|20231113|OK|NC000532|58.0700|19|01
DV000150|00000607|RONMAR MOTORS 77, C.A|20231113|OK|NC000533|351.8000|19|01
DV000151|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20231113|OK|NC000534|36.0500|02|01
DV000152|00000415|DEYKORE, C.A. (DEYKORE .CA)|20231113|OK|NC000535|12.2300|19|01
DV000153|00000403|G.C AUTOPARTES C.A|20231113|OK|NC000536|28.7800|29|01
DV000154|00000403|G.C AUTOPARTES C.A|20231114|OK|NC000536|13.9900|29|01
DV000155|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20231114|OK|NC000537|60.6700|01|01
DV000156|00000140|JOSE LUIS GOMEZ MAUHAD(INVERSIONES AGUA FRIA J.G-1)|20231114|OK|NC000538|11.2500|30|01
DV000157|00000016|DISTRIBUIDORA CHINA CAR, C.A.|20231117|OK|NC000539|103.5800|02|01
DV000158|00000400|AUTOREPUESTOS ENRIQUETA, C.A. (AUTOREPUESTOS ENRIQUETA, C.A.)|20231128|OK|NC000542|81.8400|02|01
DV000159|00000060|REPUESTOS COVECA CA|20231128|OK|NC000543|263.3600|01|01
DV000160|00000726|AUTONIPON, C.A|20231128|OK|NC000544|24.2500|33|01
DV000161|00000378|REPUESTOS SUPER VICTORIA, C.A|20231128|OK|NC000545|90.7200|01|01
DV000162|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)|20231204|OK|NC000546|187.5400|01|01
DV000163|00000710|VENEREPUESTOS YJJ, C.A.|20231204|OK|NC000547|13.9600|19|01
DV000164|00000631|DORAUTO IMPORTS, C.A|20231204|OK|NC000548|13.2300|02|01
DV000165|00000354|EL GARAJE DE LOS REPUESTOS, C.A|20231204|OK|NC000549|66.8800|25|01
DV000166|00000095|AUTO REPUESTOS PICHA, C.A.|20231207|OK|NC000550|116.4300|34|01
DV000167|00000095|AUTO REPUESTOS PICHA, C.A.|20231207|OK|NC000550|180.0800|34|01
DV000168|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20231208|OK|NC000551|37.4400|02|01
DV000169|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20231211|OK|NC000552|60.8200|01|01
DV000170|00000321|SUREPUESTO CAGUA C.A|20231213|OK|NC000553|13.9900|02|01
DV000171|00000035|ULSAN MOTOR'S, C.A.|20231213|PE||16.5600|25|01
DV000172|00000320|AUTO REPUESTOS ANGULO C.A|20231213|PE||60.8700|25|01
DV000173|00000549|AUTOMECANIC, C.A (AUTOMECANIC, C.A)|20231213|PE||9.6500|25|01
