numdevo|item|descrip|cantidad|factura|importe|precio
DV000053|25380-1C360-A|ELECTROVENTILADOR GETZ 1.6|1.0000||0.0000|75.0100
DV000054|23124-3C100-SE|DAMPER HYUNDAI SONATA 3.3 SEONG|1.0000||0.0000|55.4900
DV000055|52730-3K000|MOSO TRASERO SONATA 3.3|2.0000||0.0000|48.0600
DV000056|0VN01-13H50C|INYECTOR KIA PREGIO 3.0|4.0000||0.0000|79.0900
DV000057|3918022600-PMC|SENSOR POSICION CIGUENAL GETZ 1.6 P|1.0000||0.0000|17.9400
DV000059|39310-02200|SENSOR POSICION CIGUENAL KIA PICANT|1.0000||0.0000|14.0000
DV000060|39350-23500|SENSOR ARBOL DE LEVA TUCSON|2.0000||0.0000|29.4200
DV000061|35150-33010|VALVULA IAC PIC/RIO|1.0000||0.0000|17.5000
DV000061|23124-26030|DAMPER HYUNDAI GETZ 1.6 MOBIS|1.0000||0.0000|46.3100
DV000062|21810-07000|BASE MOTOR RH PICANTO|1.0000||0.0000|35.0000
DV000063|0B37C-10602B|ESTOPERA BOMBA ACEITE KIA RIO 1.5 O|1.0000||0.0000|10.0000
DV000064|0K2A116510-OEM|COLLARIN KIA RIO KP|4.0000||0.0000|8.0000
DV000065|41700-4A101|BOMBIN CLUTCH INF HYUNDAI H1 2009 K|1.0000||0.0000|25.4300
DV000066|41700-4H100|BOMBIN CLUTCH INF HYUNDAI H100/H1 0|1.0000||0.0000|26.4600
DV000067|39180-22600|SENSOR POSICION CIGUENAL GETZ 1.6|2.0000||0.0000|9.6500
DV000068|24410-23770-DHM|TENSOR CADENA TUCSON|1.0000||0.0000|19.0000
DV000069|35150-33010|VALVULA IAC PIC/RIO|1.0000||0.0000|17.5000
DV000070|24810-26020-OEM|POLEA TIEMPO GETZ 1.6 PMC|1.0000||0.0000|10.1400
