codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
54420-3E100|MESETA DELT SUP RH KIA SORENTO 3.8|OTROS|00095|67.7500|59.9100|16.3900|KOREA|||
54410-3E100|MESETA DELT SUP LH KIA SORENTO 3.8|OTROS|00095|67.7500|59.9100|16.3900|KOREA|||
51750-1D000|MOSO DELT CARENS/OPTIMA|OTROS|00114|34.3900|29.9000|7.6800|KOREA|||
51750-4D000|MOSO DELT SEDONA 3.8|OTROS|00106|129.8600|112.9200|32.4000|KOREA|||
52750-2B100|MOSO TRAS SANTA FE 2014-2018|SPTFE|00196|136.4500|118.6500|33.8300|KOREA|||
52730-38102|MOSO TRAS SONATA 2001-2005|OTROS|00137|56.5100|49.1400|13.6800|KOREA|||
51760-1G000|MUNON ACC/RIO CVVT 1.6 (1G001)|OTROS|00163|12.2700|10.6700|3.2300|KOREA|||
0K2FA-34-550|MUNON INF. CARENS (0K2A1)|OTROS|00163|13.4800|11.7200|3.2500|KOREA|||
0K2A1-34-550|MUNON INF. CARENS|OTROS|00163|13.4800|11.7200|3.2500|KOREA|||
54530-0U000|MUNON INF ELANTRA 2014|ELGTZ|00163|10.0200|8.7100|2.6400|KOREA|||
54570-3E100|MUNON INF SORENTO 3.8 / 3.5|OTROS|00163|30.8700|26.8400|6.9200|KOREA|||
46512-39600|PINON KILOMETRAJE SANTA FE 01-05|SPTFE|00159|8.6500|7.5200|1.6700|KOREA|||
25287-37101|POLEA CORREA UNICA SPORTAGE 2.7/SANTA FE|SPTFE|00001|17.9600|15.6200|4.1300|KOREA|||
23124-25000|POLEA DAMPER KIA CARENS 2.0 CADENA|OTROS|00140|54.0600|47.0100|13.0300|KOREA|||
23124-38210|POLEA DAMPER H1 2007|H1|00140|63.7700|55.4500|14.9800|KOREA|||
23124-2C050|POLEA DAMPER HYUNDAI H1 2009|H1|00200|64.0100|55.6600|15.3500|KOREA|||
0K955-12-730A|POLEA LOCA SPORTAG 2001-2003|SPTFE|00031|18.4800|16.0700|4.5700|KOREA|||
25286-2B010|POLEA TENSOR CORREA UNICA CERATO 1.6|OTROS|00137|15.5300|13.5000|3.3700|KOREA|||
25286-3C250|POLEA METALICA CORREA UNICA SONATA 3.3|OTROS|00186|23.0000|23.0000|5.5000|KOREA|||
86812-2D000|CARTER GUARDAFANGO DEL RH ELANTRA 00-12|ELGTZ|00122|0.0000|0.0000|0.0000|KOREA|||
86811-2D000|CARTER GUARDAFANGO DEL LH ELANTRA 00-12|ELGTZ|00122|0.0000|0.0000|0.0000|KOREA|||
25310-FD010|RADIADOR KIA RIO STYLUS 1.5|RIO|00137|138.0000|120.0000|35.0000|KOREA|||
25310-4D800|RADIADOR KIA SEDONA 3.8|OTROS|00140|0.0000|0.0000|0.0000|KOREA|||
35301-25000|REGULADOR PRESION GASOLINA CARENS 2.0 CADENA|OTROS|00122|0.0000|0.0000|0.0000|KOREA|||
0K2A2-13-280|REGULADOR PRESION GASOLINA RIO STYLUS|RIO|00084|31.1200|27.0600|8.2000|KOREA|||
0K2A2-67-740|RELAY 4 PINES KIA RIO|RIO|00122|0.0000|0.0000|0.0000|KOREA|||
0K71E-17-210A-O|RODAMIENTO AGUJA CAJA  KIA PREGIO|PREGI|00221|10.9300|9.5000|2.1600|KOREA|||
54612-4D000|RODAMIENTO BASE AMORT SANTA FE 07/H1 09/ SEDONA 3.|H1|00122|13.2300|11.5000|2.5000|KOREA|||
0K71E-17-295|RODAMIENTO CAJA PREGIO|PREGI|00001|15.9300|13.8500|3.5900|KOREA|||
27131-11000|ROTOR DISTRIBUIDOR EXCEL|OTROS|00218|0.0000|0.0000|0.0000|KOREA|||
56540-3X000|ROTULA ELANTRA 2018|ELGTZ|00095|16.2600|14.1400|3.0700|KOREA|||
57785-26200|ROTULA SANTA FE 2001-2005|SPTFE|00095|0.0000|0.0000|0.0000|KOREA|||
95671-2B000|SENSOR ABS DELT SANTA FE 2007 RH|SPTFE|00194|51.1300|44.4600|13.4700|KOREA|||
95670-2B000|SENSOR ABS DELT SANTA FE 2007 LH|SPTFE|00194|51.1300|44.4600|13.4700|KOREA|||
39350-25000|SENSOR ARBOL LEVA CARENS 2.0 DE CADENA|OTROS|00122|14.2600|12.4000|3.1500|KOREA|||
39350-22600|SENSOR ARBOL LEVA HYUNDAI GETZ/ ELANTRA 1.6|ELGTZ|00122|23.5300|20.4600|6.2000|KOREA|||
0K30E-18-131B|SENSOR ARBOL LEVA KIA RIO STYLUS 1.5|RIO|00172|22.2200|19.3200|5.9100|KOREA|||
39350-3E120|SENSOR ARBOL LEVA SANTA FE 2007 LH|SPTFE|00122|19.8100|17.2300|4.3100|KOREA|||
39318-3C100|SENSOR ARBOL LEVA SONATA 3.3|OTROS|00122|15.4100|13.4000|3.1500|KOREA|||
39318-39800-OEM|SENSOR ARBOL LEVA KIA SORENTO 3.8|OTROS|00194|52.8200|45.9300|13.0100|KOREA|||
39318-39800|SENSOR ARBOL LEVA SORENTO 3.8|OTROS|00122|36.4200|31.6700|8.6900|KOREA|||
42620-39051|SENSOR ENTRADA CAJA TUCS/ELAN/SPORT/FE|ELGTZ|00122|15.5300|13.5000|3.1800|KOREA|||
39250-26600|SENSOR DETONACION ELANTRA/ GETZ  2 PINES|ELGTZ|00122|0.0000|0.0000|0.0000|KOREA|||
39250-37100|SENSOR GOLPETEO SPORTAGE DER|SPTFE|00084|32.4200|28.1900|7.6300|KOREA|||
39250-37100-AM|SENSOR GOLPETEO SPORTAGE DER|SPTFE|00159|19.0900|16.6000|4.4200|KOREA|||
39250-37150|SENSOR GOLPETEO SPORTAGE IZQ  (LH) *|SPTFE|00159|19.0900|16.6000|4.4200|KOREA|||
96420-4A600|SENSOR DISTANCIA KM HYUNDAI GETZ/ELANTRA|ELGTZ|00122|6.6500|5.7800|1.4500|KOREA|||
28164-25000|SENSOR MAF CARENS/OPTIMA 2.0 CADENA|OTROS|00140|80.5000|70.0000|18.2500|KOREA|||
28100-39400|SENSOR MAF SEDONA 3.5 / SORENTO 3.5|OTROS|00140|73.2800|63.7200|16.2800|KOREA|||
39330-22000|SENSOR MAP ACCENT 1.3 /ELANTRA 1.8 TIBURON|ACCEN|00122|18.4000|16.0000|4.8500|KOREA|||
39210-23500|SENSOR OXIGENO ELANTRA XD|ELGTZ|00138|45.9900|39.9900|11.5100|KOREA|||
39210-22620|SENSOR OXIGENO HYUNDAI GETZ / ELANTRA 1.6|ELGTZ|00159|50.8400|44.2100|12.7900|KOREA|||
39210-2C100|SENSOR OXIGENO H1 2009|H1|00184|50.8400|44.2100|12.7900|KOREA|||
39210-2X010|SENSOR OXIGENO KIA RIO STYLUS 1.5|RIO|00122|64.4500|56.0400|16.0700|KOREA|||
39210-3C200|SENSOR OXIGENO HYUNDAI SONATA 3.3 TRAS RH|OTROS|00138|50.5900|43.9900|11.5100|KOREA|||
39210-39820|SENSOR OXIGENO KIA SORENTO SEDONA 3.5|OTROS|00159|56.4000|49.0400|13.6500|KOREA|||
39210-23710|SENSOR OXIGENO TUCSON ELANTRA|ELGTZ|00122|63.9300|55.5900|15.6300|KOREA|||
39180-25300-OEM|SENSOR POSICION CIG NEW CARENS/OPT/SOREN|OTROS|00194|0.0000|0.0000|0.0000|KOREA|||
39180-25300|SENSOR POSICION CIG NEW CARENS/OPT/SOREN|OTROS|00122|22.4300|19.5000|5.0000|KOREA|||
39310-38060|SENSOR POSICION CIGUENAL H1 2007|H1|00122|30.5900|26.6000|6.8500|KOREA|||
39310-39800|SENSOR POSICION CIG SEDONA/SOREN 3.5|OTROS|00167|36.4200|31.6700|8.6900|KOREA|||
39310-39110|SENSOR ARBOL LEVA SEDO/ SORENTO 3.5|OTROS|00122|30.6500|26.6500|6.5600|KOREA|||
0K622-18-510|SENSOR TEMPERATURA KIA PREGIO 3.0 KOREA|PREGI|00147|7.8300|6.8100|1.7600|KOREA|||
0K50F-18-840|SENSOR TEMP KIA RIO STYLUS 1.5|RIO|00074|8.8700|7.7100|2.0300|KOREA|||
26510-26600|TAPA ACEITE HYUNDAI ELANTRA/GETZ 1.6|ELGTZ|00026|4.9700|4.3200|0.6900|KOREA|||
26510-35000|TAPA ACEITE MOTOR ACCENT/EXCEL|ACCEN|00026|3.8200|3.3200|0.3900|KOREA|||
21350-26002|CARCAZA INF. CORREA TIEMPO GETZ|ELGTZ|00122|16.6800|14.5000|3.5200|KOREA|||
24610-03000|TAQUETE HYUNDAI GRAND i10|I10|00140|6.7900|5.9000|1.6000|KOREA|||
24470-2G350|TENSOR CADENA TIEMPO HYUNDAI SONATA 2018|OTROS|00122|28.7500|25.0000|5.0000|KOREA|||
0K973-12-700A|TENSOR CORREA TIEMPO SPORTAG 2001-2003|SPTFE|00031|19.3000|16.7800|4.4800|KOREA|||
25281-25000|TENSOR CORREA UNICA SANTA FE 09-12/SONA/TUC 15 (534 0430 10)|SPTFE|00168|67.0400|58.3000|15.5400|KOREA|||
24410-39001|TENSOR HIDRAULICO CORREA TIEMPO  SORENTO/ SEDONA 3|OTROS|00137|0.0000|0.0000|0.0000|KOREA|||
56820-4D100|TERMINAL DIRECCION  SEDONA 3.8 RH|OTROS|00163|0.0000|16.9800|4.3700|KOREA|||
56820-1G000|TERMINAL RH RIO/ACCENT CVVT|OTROS|00163|15.9300|13.8500|3.5900|KOREA|||
56820-1G900|TERMINAL LH RIO/ACCENT CVVT|OTROS|00163|15.9300|13.8500|3.5000|KOREA|||
56820-3X090|TERMINAL RH ELANTRA 2014-2020|ELGTZ|00163|16.7400|14.5600|3.5600|KOREA|||
56820-3X000|TERMINAL LH ELANTRA 2014-2020|ELGTZ|00163|16.7400|14.5600|3.5000|KOREA|||
56820-2G900|TERMINAL RH NEW CARENS/ OPTIMA 2007|OTROS|00163|21.7900|18.9500|4.4300|KOREA|||
56820-2G000|TERMINAL LH NEW CARENS/ OPTIMA 2007|OTROS|00163|21.7900|18.9500|4.8000|KOREA|||
56820-4Z050|TERMINAL RH SANTA FE 2014|SPTFE|00217|38.6300|33.5900|8.3600|KOREA|||
56820-4Z000|TERMINAL LH SANTA FE 2014|SPTFE|00217|38.6300|33.5900|8.3600|KOREA|||
56820-38900|TERMINAL DIRECCION SONATA 2001-2005 DER|OTROS|00249|12.0800|10.5000|2.8400|KOREA|||
56820-38000|TERMINAL DIRECCION HYUNDAI SONATA 2001-2005 LH|OTROS|00249|12.0800|10.5000|2.8400|KOREA|||
56820-3Q500|TERMINAL RH TUCSON 2014-2020|TUCSO|00163|20.8400|18.1200|4.0600|KOREA|||
56820-3Q000|TERMINAL LH TUCSON 2014-2020|TUCSO|00163|20.8400|18.1200|4.2800|KOREA|||
25500-38400|TERMOSTATO H1 2007 / CERATO 1.6 CADENA|H1|00159|12.5000|10.8700|2.9900|KOREA|||
25500-2E085|TERMOSTATO TUCSON 2014 (2E000)|TUCSO|00122|45.4700|39.5400|11.0700|KOREA|||
25500-2E000|TERMOSTATO TUCSON 2016|TUCSO|00122|12.6500|11.0000|2.4000|KOREA|||
22321-26000|TORNILLO CAMARA GETZ /ELANTRA /RIO CVVT 1.6|ELGTZ|00165|3.2100|2.7900|0.4700|KOREA|||
25460-3C501|TUBERIA AGUA SONATA 3.3|OTROS|00122|0.0000|0.0000|0.0000|KOREA|||
25460-25002|TUBERIA ENFRIAMIENTO KIA CARENS/ OPTIMA 2.0 CADENA|OTROS|00122|18.1900|15.8200|2.8600|KOREA|||
25460-2G800|TUBERIA ENFRIAMIENTO SANTA FE 2016|SPTFE|00159|18.6200|16.1900|2.7800|KOREA|||
25460-3C550|TUBERIA ENFRIAMIENTO SONATA 3.3|OTROS|00122|0.0000|0.0000|0.0000|KOREA|||
35150-25700|VALVULA IAC KIA CARENS/OPTIMA CADENA|OTROS|00122|44.8500|39.0000|10.6300|KOREA|||
24355-2G500|VALVULA OCV ADMISION SANTA FE 2014|SPTFE|00122|0.0000|0.0000|0.0000|KOREA|||
25461-22601-RAO|TUBO AGUA HYUNDAI GETZ 1.3|ELGTZ|00007|25.3000|18.1800|4.1200|KOREA|||
0K372-11SDX-KPR|JGO. ANILLO KIA RIO 1.5 0.20 (0.50) KPR|RIO|00113|0.0000|0.0000|0.0000|KOREA|||
21020-37220-K|JGO. CONCHA BANCADA SPORTAGE 2.7 STD PMC ESS|SPTFE|00137|0.0000|0.0000|0.0000|KOREA|||
978342D520-K|POLEA TENSORA A/A TUCSON/XD GRANDE GMB|TUCSO|00001|0.0000|0.0000|0.0000|KOREA|||
0K72A-33-047-K|RODAMIENTO DEL. INT PREGIO GSBH021|PREGI|00163|0.0000|0.0000|0.0000|KOREA|||
0K72A-17-250A|ARO SINC. CAJA 1RA/2DA KIA PREGIO|PREGI|00220|0.0000|0.0000|0.0000|KOREA|||
0K43A-17-245|ARO SINC. CAJA 3RA/4TA KIA PREGIO|PREGI|00122|7.4800|6.5000|1.4200|KOREA|||
36100-21770|ARRANQUE HYUNDAI GETZ/ELAN /ACC 1.6 T/A|ELGTZ|00138|138.0000|120.0000|33.7400|KOREA|||
36100-38090|ARRANQUE HYUNDAI H1 2007|H1|00138|136.3600|118.5700|34.1100|KOREA|||
0K601-18400|ARRANQUE KIA PREGIO 3.0|PREGI|00138|291.1800|253.2000|76.7300|KOREA|||
36100-23061|ARRANQUE HYUNDAI TUCSON / SANTA FE / ELANTRA 2.0 T|TUCSO|00122|0.0000|0.0000|0.0000|KOREA|||
36120-23070|AUTOMATICO HYUNDAI TUCSON / KIA SPORTAGE 2.0|TUCSO|00197|36.9000|28.0900|7.4100|KOREA|||
54610-1G500|BASE AMORT. DEL. LH KIA RIO / ACC CVVT 1.6|OTROS|00163|21.1500|18.3900|5.0900|KOREA|||
25100-39012|BOMBA AGUA KIA SEDONA 3.5|OTROS|00163|0.0000|0.0000|0.0000|KOREA|||
0K30B-32650|BOMBA DIRECCION KIA RIO STYLUS|RIO|00138|126.6000|110.0900|30.0100|KOREA|||
58510-1C000|BOMBA FRENO HYUNDAI GETZ 1.6 4 TUBOS|ELGTZ|00221|120.6800|104.9400|31.8000|KOREA|||
98510-1C000|BOMBA LIMPIA PARABRISAS HYUNDAI ACCENT|ACCEN|00122|7.4800|6.5000|1.2500|KOREA|||
54813-2D102|BUJE BARRA ESTAB. DEL. HYUNDAI ELANTRA|ELGTZ|00095|4.0300|3.5000|0.3500|KOREA|||
93490-2M500|CABLE ESPIRAL KIA CERATO 10-14|OTROS|00159|26.7000|23.2200|6.1600|KOREA|||
93490-2H300|CABLE ESPIRAL HYUNDAI ELANTRA 2014-2017|ELGTZ|00159|26.7000|23.2200|6.1600|KOREA|||
93490-2B200|CABLE ESPIRAL HYUNDAI SANTA FE 07-10|SPTFE|00122|0.0000|0.0000|0.0000|KOREA|||
93490-3R110|CABLE ESPIRAL KIA PICANTO|PICAN|00159|26.7000|23.2200|5.8200|KOREA|||
93490-1G210|CABLE ESPIRAL KIA RIO CVVT 1.6|OTROS|00159|26.7000|23.2200|5.8200|KOREA|||
93490-2P010|CABLE ESPIRAL KIA SORENTO 09-13|OTROS|00122|32.0700|27.8900|7.2400|KOREA|||
93490-1F000|CABLE ESPIRAL KIA SPORTAGE / SORENTO 02-06|SPTFE|00159|26.7000|23.2200|5.8200|KOREA|||
93490-3K600|CABLE ESPIRAL HYUNDAI SONATA 04-13|OTROS|00159|29.3300|25.5000|6.1600|KOREA|||
93490-2K200|CABLE ESPIRAL HYUNDAI TUCSON IX35|TUCSO|00159|29.3300|25.5000|5.8200|KOREA|||
57700-2D000|CAJETIN HIDRAULICO HYUNDAI ELANTRA 01 -|ELGTZ|00138|242.4500|210.8300|63.8900|KOREA|||
57700-4H100|CAJETIN HIDRAULICO HYUNDAI H1 06|H1|00201|379.5000|330.0000|114.9100|KOREA|||
57700-4H000|CAJETIN HIDRAULICO HYUNDAI H1 09 (4H100)|H1|00201|379.5000|330.0000|114.9100|KOREA|||
57700-2B000|CAJETIN HIDRAULICO HYUNDAI SANTA FE 2.7 09-|SPTFE|00138|344.9900|299.9900|101.2100|KOREA|||
56500-2S001|CAJETIN HIDRAULICO HYUNDAI TUCSON IX35|TUCSO|00138|333.8700|290.3200|73.1300|KOREA|||
56500-07000|CAJETIN HIDRAULICO KIA PICANTO|PICAN|00225|0.0000|0.0000|0.0000|KOREA|||
0K65A-15172C|CARCAZA TERMOSTATO SUPERIOR KIA PREGIO|PREGI|00122|8.6300|7.5000|1.6200|KOREA|||
23111-2G030|CIGUENAL CARENS/OPTIMA 2.0 CADENA|OTROS|00140|0.0000|0.0000|0.0000|KOREA|||
0K9BV-12205|CORREA TIEMPO CARNIVAL  176DTS|OTROS|00145|40.4200|35.1500|8.8300|KOREA|||
25212-25000|CORREA UNICA CARENS 2.0 CADENA|OTROS|00124|23.0000|20.0000|5.3400|KOREA|||
23212-32000|CREMALLERA HYUNDAI H1-07 109 DIENTES|H1|00221|30.6900|26.6900|5.9700|KOREA|||
23124-23510|DAMPER TUCSON|TUCSO|00137|0.0000|0.0000|0.0000|KOREA|||
97730-4D800|ELECTROVENTILADOR AUXILIAR SEDONA 3.8|OTROS|00162|128.9600|112.1400|30.9500|KOREA|||
25380-4D800|ELECTROVENTILADOR PRINCIPAL SEDONA 3.8|OTROS|00162|0.0000|0.0000|0.0000|KOREA|||
25380-D3500|ELECTROVENTILADOR TUCSON 2014|TUCSO|00163|163.9400|142.5600|28.0500|KOREA|||
0K247-10-235B|EMPACADURA TAPA VALVULA CARENS 1.8|OTROS|00163|6.7300|5.8500|1.1700|KOREA|||
22441-25100|EMPACADURA TAPA VALVULA CARENS 2.0 CADENA|OTROS|00163|8.0000|6.9600|1.5000|KOREA|||
22441-39810|EMPACADURA TAPA VALVULA RH/LH SEDONA 3.5|OTROS|00163|5.8000|5.0400|0.9200|KOREA|||
23121-2B000|ENGRANAJE CIGUENAL KIA CERATO 1.6|OTROS|00122|15.5300|13.5000|2.5800|KOREA|||
24350-2E011-AM|ENGRANAJE CVVT TUCSON 2014 ADM|TUCSO|00159|127.3200|110.7100|27.1800|KOREA|||
24370-2E010|ENGRANAJE CVVT TUCSON 2014 ESCAPE|TUCSO|00159|127.3200|110.7100|28.1600|KOREA|||
21352-3C600|ESTOPERA DELANTERA CIGUENAL SORENTO SEDONA 3.8 45*|OTROS|00110|0.0000|6.5000|1.3400|KOREA|||
51830-44000|ESTOPERA RUEDA DELT H1 07 T/A|H1|00110|0.0000|4.2000|0.5100|KOREA|||
51830-4A400|ESTOPERA RUEDA DELT HYUNDAI H1 07 T/M|H1|00064|8.8000|7.6500|1.7100|KOREA|||
92201-1C000|FARO LH ANTINIEBLA HYUNDAI GETZ 06-|ELGTZ|00122|20.7000|18.0000|5.0000|KOREA|||
92202-1C000|FARO RH ANTINIEBLA HYUNDAI GETZ 06-|ELGTZ|00122|20.7000|18.0000|5.0000|KOREA|||
97133-D3000|FILTRO A/A TUCSON 2014-2018|TUCSO|00002|9.5600|8.3100|1.9100|KOREA|||
46321-22731|FILTRO ACEITE CAJA T/A ELANT/GETZ/ACC|ELGTZ|00203|14.3800|12.5000|2.5400|KOREA|||
56321-39010-OEM|FILTRO ACEITE CAJA T/A TUCSON/ELAN 2.0|TUCSO|00004|0.0000|25.0000|5.5000|KOREA|||
31090-2E000|FILTRO MALLA PRINCIPAL GASOLINA TUCSON/ELAN/SPORT|TUCSO|00159|4.4300|3.8500|0.8500|KOREA|||
94430-4A050|FLOTANTE GASOLINA HYUNDAI H1 07|H1|00159|26.7700|23.2800|6.1400|KOREA|||
94460-D3000|FLOTANTE GASOLINA TUCSON 2014 D3900|TUCSO|00159|33.0400|28.7300|6.6800|KOREA|||
31150-3E300|FLOTANTE KIA SORENTO 3.8|OTROS|00002|31.7600|27.6200|6.2500|KOREA|||
81770-1C000|GATO COMPUERTA HYUNDAI GETZ (1C001)|ELGTZ|00163|16.1500|14.0400|3.5000|KOREA|||
81790-4A140|GATO COMPUERTA H1 06|H1|00163|28.9800|25.2000|6.4000|KOREA|||
81770-4H010|GATO COMPUERTA H1 09|H1|00163|28.9800|25.2000|5.5100|KOREA|||
87170-1F100|GATO COMPUERTA VIDRIO KIA SPORTAGE LH/RH (1F110)|SPTFE|00163|16.1500|14.0400|3.6100|KOREA|||
57170-1F110|GATO COMPUERTA VIDRIO SPORTAGE RH|SPTFE|00163|16.1500|14.0400|3.6100|KOREA|||
81771-26010|GATO VIDRIO COMP. SANTA FE 00-06|SPTFE|00163|16.0000|13.9100|3.6100|KOREA|||
81190-1C100|GUAYA CAPOT GETZ|ELGTZ|00163|7.4300|6.4600|1.0500|KOREA|||
59760-2E200|GUAYA FRENO DE MANO LH HYUNDAI TUCSON|TUCSO|00163|26.9800|23.4600|6.1800|KOREA|||
35310-22600|INYECTOR HYUNDAI GETZ 1.6/ELANTRA|ELGTZ|00137|30.0800|26.1600|7.9300|KOREA|||
0K9YV-11-SC0-ST|JGO. ANILLO CARNIVAL 2.5 STD|OTROS|00137|56.7100|49.3100|14.0300|KOREA|||
23040-3C200.STD|JGO. ANILLO SOREN/SEDONA 3.8 STD|OTROS|00073|40.2500|37.0000|10.9100|KOREA|||
0KFY3-11-SDX-05|JGO. ANILLO KIA SPORTAGE 01-03 0.20 (0.50)|SPTFE|00073|33.9700|29.5400|8.9500|KOREA|||
0KFY3-11-SC0-ST|JGO. ANILLO SPORTAGE 01-03 STD|SPTFE|00073|35.6400|30.9900|9.3900|KOREA|||
58305-4AA30|JGO. BANDA FRENO HYUNDAI H1 2007|H1|00163|58.7200|51.0600|15.4700|KOREA|||
58305-4HA00|JGO. BANDA FRENO HYUNDAI H1 2009|H1|00163|70.1000|60.9600|18.4700|KOREA|||
58315-FDA00|JGO. BANDA FRENO KIA RIO STYLUS (FDA01)|RIO|00163|26.5900|23.1200|6.4000|KOREA|||
58305-2EA00|JGO. BANDA FRENO TUCSON/SPT|TUCSO|00153|0.0000|0.0000|0.0000|KOREA|||
27501-24E10|JGO. CABLE BUJIA EXCEL|OTROS|00163|11.1100|9.6600|2.9300|KOREA|||
27501-03011S|JGO. CABLE BUJIA HYUNDAI  i10|I10|00163|23.0000|20.0000|5.1200|KOREA|||
21020-2B911-025|JGO. CONCHA BANCADA 0.10 (0.25) CERATO 1.6|OTROS|00121|0.0000|0.0000|0.0000|KOREA|||
0K7Y0-11-SK0-02|JGO. CONCHA BANCADA 0.10 (0.25) SPORTAGE 01-03|SPTFE|00005|14.4600|12.5700|1.6900|KOREA|||
0K2Y2-11-SHX-05|JGO. CONCHA BANCADA 0.20 (0.50) CARENS 1.8|OTROS|00005|0.0000|0.0000|0.0000|KOREA|||
21020-2G020-STD|JGO. CONCHA BANCADA STD CARENS/OPTI 2.0 CADENA (2G000)|OTROS|00137|16.6800|14.5000|3.4600|KOREA|||
0KFY0-11-SG0-ST|JGO. CONCHA BANCADA STD SPORTAGE 01-03|SPTFE|00005|0.0000|0.0000|0.0000|KOREA|||
0K2Y3-11-SFO-02|JGO. CONCHA BIELA 0.10 (0.25) CARENS 1.8|OTROS|00005|11.9600|10.4000|2.5400|KOREA|||
0K2Y3-11-SFX-05|JGO. CONCHA BIELA 0.20 (0.50) CARENS 1.8|OTROS|00137|11.5000|10.0000|0.8500|KOREA|||
0K2Y3-11-SE0-ST|JGO. CONCHA BIELA STD CARENS 1.8|OTROS|00005|11.9600|10.4000|2.5400|KOREA|||
0K01C-10-270A|JGO. EMPACADURA SPORTAGE 2.0 01-03|SPTFE|00163|51.7800|45.0300|12.4300|KOREA|||
0FEYA-11-SBX-05|JGO. PISTON 0.20 (0.50) SPORTAGE 01-03|SPTFE|00151|115.0000|100.0000|27.0800|KOREA|||
0K2Y2-11-SJ0|JGO. SEPARADOR AXIAL STD CARENS 1.8|OTROS|00121|0.0000|0.0000|0.0000|KOREA|||
0K7Y0-11-SJ0|JGO. SEPARADOR AXIAL STD SPORTAGE 01-03|SPTFE|00005|8.6900|7.5600|1.6900|KOREA|||
57510-2B300|MANGUERA SUCCION DH ALTA HYUNDAI SANTA FE 2007|SPTFE|00226|120.3400|104.6400|28.6800|KOREA|||
57510-4D200|MANGUERA SUCCION DH ALTA SEDONA 3.8|OTROS|00226|0.0000|0.0000|0.0000|KOREA|||
57530-2D000|MANGUERA SUCCION DH ELANTRA XD 2.0|ELGTZ|00095|8.2700|7.1900|0.9700|KOREA|||
57530-FD000|MANGUERA SUCCION DH RIO|RIO|00226|0.0000|0.0000|0.0000|KOREA|||
57581-2E001|MANGUERA SUCCION DH HYUNDAI TUCSON|TUCSO|00226|10.2200|8.9000|1.4700|KOREA|||
24531-4Z000|MARTILLO KIA PREGIO 3.0|PREGI|00005|13.3200|11.5800|2.9000|KOREA|||
51300-3E200|MOZO DELANTERO KIA SORENTO 3.8|OTROS|00151|78.5600|68.3100|19.1800|KOREA|||
517504H050|MOZO DELT HYUNDAI H1 09|H1|00151|102.3400|88.9900|26.9700|KOREA|||
0K30E-10122A|JGO. ORING PRECAMARA KIA RIO 1.5 POS OEM KOREA (4PCS)|RIO|00110|14.3800|12.5000|0.6400|KOREA|||
51715-1C010|PUNTA EJE GETZ LH|ELGTZ|00114|70.1500|61.0000|17.1800|KOREA|||
51716-1C010|PUNTA EJE GETZ RH|ELGTZ|00114|70.1500|61.0000|17.1800|KOREA|||
37370-25110|REGULADOR ALTERNADOR HYUNDAI H1-09|H1|00151|33.9400|29.5100|7.2000|KOREA|||
25431-1C000|RESERVORIO RADIADOR GETZ|ELGTZ|00140|14.9500|13.0000|3.0300|KOREA|||
37334-2C110|RODAMIENTO ALTERNADOR RIO|RIO|00126|0.0000|0.0000|0.0000|KOREA|||
45829-34150|RODAMIENTO DIFERENCIAL HYUNDAI GETZ|ELGTZ|00196|18.1700|15.8000|3.7600|KOREA|||
52371-3E000|RODAMIENTO TRASERO KIA SORENTO 3.8|OTROS|00151|32.2000|28.0000|7.2000|KOREA|||
0K552-32-270A|ROTULA LH CARNIVAL|OTROS|00163|0.0000|0.0000|0.0000|KOREA|||
57724-1D010|ROTULA LH OPTIMA/ NEW CARENS 2.0|OTROS|00163|0.0000|0.0000|0.0000|KOREA|||
0K552-32-250B|ROTULA RH CARNIVAL|OTROS|00163|0.0000|0.0000|0.0000|KOREA|||
57731-3E010|ROTULA KIA SORENTO 03-09|OTROS|00163|14.4700|12.5800|2.9000|KOREA|||
95681-2B000|SENSOR ABS TRAS LH HYUNDAI SANTA FE 2007|SPTFE|00122|0.0000|0.0000|0.0000|KOREA|||
956802B000|SENSOR ABS TRAS RH HYUNDAI SANTA FE 2007|SPTFE|00172|0.0000|27.2900|8.5300|KOREA|||
0K60C-23-430A|SENSOR FILTRO GASOIL KIA PREGIO|PREGI|00151|9.8900|8.6000|2.0100|KOREA|||
39210-02640|SENSOR OXIGENO KIA PICANTO|PICAN|00159|50.8400|44.2100|12.7900|KOREA|||
39210-2C110|SENSOR OXIGENO TRASERO H1-09|H1|00221|87.8100|76.3600|21.3200|KOREA|||
56820-4D000|TERMINAL DIRECCION SEDONA 3.8 LH|OTROS|00163|0.0000|16.9800|4.5600|KOREA|||
56820-4D001|TERMINAL DIRECCION  SEDONA 3.8 LH|OTROS|00163|0.0000|0.0000|0.0000|KOREA|||
57510-2D000|TUBERIA ALTA PRESION DH ELANTRA 2.0|ELAN|00122|0.0000|0.0000|0.0000|KOREA|||
57510-2E001|TUBERIA SUCCION DH ALTA TUCSON|TUCSO|00223|0.0000|0.0000|0.0000|KOREA|||
24375-2G500|VALVULA OCV ESCAPE SANTA FE 2014|SPTFE|00122|0.0000|0.0000|0.0000|KOREA|||
35120-270050|VALVULA PURGA EGR HYUNDAI GETZ/SANTA FE/TUCSON|ELGTZ|00221|91.8500|79.8700|22.6900|KOREA|||
