codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
21030-2E000|JGO. SEPARADOR AXIAL HYUNDAI TUCSON 2015 STD|TUCSO|00072|10.9300|9.5000|1.5000|KOREA|||
25281-2E350|TENSOR CORREA UNICA HYUNDAI TUCSON 2015|TUCSO|00031|66.9000|58.1700|16.6800|KOREA|||
56820-D3000|TERMINAL LH HYUNDAI TUCSON 2015|TUCSO|00163|17.9400|15.6000|3.7200|KOREA|||
56825-D3000|TERMINAL RH HYUNDAI TUCSON 2015|TUCSO|00163|17.9400|15.6000|3.6200|KOREA|||
25600-2E500|TOMA AGUA CON SENSOR TUCSON 2015-2022 / SONATA 17-|TUCSO|00159|38.4700|33.4500|9.2200|KOREA|||
22211-2E400|VALVULA ADMISION HYUNDAI TUCSON 2015|TUCSO|00191|5.1800|4.5000|1.2800|KOREA|||
22212-2E000|VALVULA ESCAPE HYUNDAI TUCSON 2015|TUCSO|00191|6.2100|5.4000|1.6100|KOREA|||
55311-2D000|BASE AMORT. TRAS. LH HYUNDAI ELANTRA **55320**|ELGTZ|00095|18.7300|15.5000|3.8400|KOREA|||
55310-2D000|BASE AMORT. TRAS. RH HYUNDAI ELANTRA|ELGTZ|00095|18.7300|15.5000|3.8400|KOREA|||
52710-FD000|RODAMIENTO TRASERO EXT. KIA RIO|RIO|00163|7.5100|6.5000|1.7100|KOREA|||
52730-C1100|MOSO TRASERO HYUNDAI TUCSON 2015 713122810|TUCSO|00230|121.4300|105.5900|30.7800|KOREA|||
23041-2E000|JGO. PISTON TUCSON 2015|TUCSO|00002|103.2200|89.7600|27.2000|KOREA|||
31380-2E000-K|REGULADOR GASOLINA TUCSON / SPORTAGE|TUCSO|00159|17.2500|15.0000|6.3900|KOREA|||
0K30E-10602-POS|ESTOPERA ARBOL LEVA KIA RIO 1.5|RIO|00110|6.1900|5.3800|1.3700|KOREA|||
0K3Y0-11SC0-K|JGO. ANILLO KIA RIO 1.5 STD KPR|RIO|00113|35.6500|31.0000|11.7100|KOREA|||
23410-38200-STD|JGO. PISTON HYUNDAI H1 06 CORREA STD TIK 2H8 65200|H1|00195|89.7000|78.0000|27.5600|OTROS|||
23410-38200-050|JGO. PISTON HYUNDAI H1 06 CORREA 0.20(0.50) 2H8 65200|H1|00195|109.2500|95.0000|27.5600|OTROS|||
23410-38200-075|JGO. PISTON HYUNDAI H1 06 CORREA 0.30(0.75) TIK 2H8 65200|H1|00195|109.2500|95.0000|27.5600|OTROS|||
23410-39810-STD|JGO. PISTON KIA SORENTO/SEDONA 3.5 STD TIK 2K9 30300|OTROS|00195|135.7000|118.0000|37.4000|OTROS|||
23410-39810-050|JGO. PISTON KIA SORENTO/SEDONA 3.5 0.20(0.50) TIK 2K930300|OTROS|00195|147.2000|128.0000|37.4000|OTROS|||
23410-39810-075|JGO. PISTON KIA SORENTO/SEDONA 3.5 0.30(0.75) TIK 2K930300|OTROS|00195|147.2000|128.0000|37.4000|OTROS|||
23041-3C603-STD|JGO. PISTON KIA SORENTO/SEDONA 3.8 STD TIK 2K9 60100|OTROS|00195|161.0000|140.0000|47.2400|OTROS|||
23041-3C603-050|JGO. PISTON KIA SORENTO/SEDONA 3.8 0.20(050) TIK 2K9-30300|OTROS|00195|184.0000|160.0000|47.2400|OTROS|||
23041-3C603-075|JGO. PISTON KIA SORENTO/SEDONA 3.8 0.30(075) TIK 2K960100|OTROS|00195|195.5000|170.0000|47.2400|OTROS|||
23410-37317-STD|JGO. PISTON KIA SPORTAGE 2.7 STD TIK 2H867300|SPTFE|00195|149.5000|130.0000|49.2100|OTROS|||
23410-37317-050|JGO. PISTON KIA SPORTAGE 2.7 0.20 (0.50) TIK 2H867300|SPTFE|00195|161.0000|140.0000|49.2100|OTROS|||
23410-37317-075|JGO. PISTON KIA SPORTAGE 2.7 0.30 (0.75) TIK 2H867300|SPTFE|00195|172.5000|150.0000|49.2100|OTROS|||
0K7Z1-11-SA0-TI|JGO. PISTON KIA PREGIO 3.0 TIK 2K98001H|PREGI|00195|357.6600|311.0100|103.6700|OTROS|||
23410-02470-STD|JGO. PISTON KIA PICANTO STD TIK 2H670100|PICAN|00195|72.4500|63.0000|18.3700|OTROS|||
23410-02470-050|JGO. PISTON KIA PICANTO 0.20(050) TIK 2H670100|PICAN|00195|72.4500|63.0000|18.3700|OTROS|||
23410-02470-075|JGO. PISTON KIA PICANTO 0.30(075) TIK 2H670100|PICAN|00195|78.2000|68.0000|18.3700|OTROS|||
23410-02470-100|JGO. PISTON KIA PICANTO 0.40(100) TIK 2H670100|PICAN|00195|78.2000|68.0000|18.3700|OTROS|||
0K3Y-11SA0-STD|JGO. PISTON KIA RIO 1.5 STD TIK 2K755100|RIO|00195|80.5000|70.0000|21.0000|OTROS|||
0K3Y0-11SA0-050|JGO. PISTON KIA RIO 1.5 0.20(050) TIK 2K755100|RIO|00195|80.5000|70.0000|21.0000|OTROS|||
0K3Y0-11SA0-030|JGO. PISTON KIA RIO 1.5 0.75(030) TIK 2K755100|RIO|00195|86.2500|75.0000|21.0000|OTROS|||
0K3Y0-11SA0-100|JGO. PISTON KIA RIO 1.5 0.40 (100) TIK 2K755100|RIO|00195|86.2500|75.0000|21.0000|OTROS|||
35310-38010|INYECTOR HYUNDAI H1 06 CORREA|H1|00137|28.7500|25.0000|8.4100|KOREA|||
23040-2E000|JGO. ANILLO HYUNDAI TUCSON 2014 STD|TUCSO|00137|41.0400|35.6900|9.5900|KOREA|||
56321-39010|FILTRO ACEITE CAJA T/A HYUNDAI TUCSON/ELAN 2.0|TUCSO|00203|11.6500|10.1300|2.8300|KOREA|||
42621-39052|SENSOR SALIDA CAJA HYUNDAI TUCSON|TUCSO|00122|14.7500|12.8300|3.3800|KOREA|||
23040-26101-STD|JGO. ANILLO GETZ 1.6/ELAN 1.6 STD 2.5 MM R2H76520|ELGTZ|00195|23.3100|20.2700|8.9900||||
23040-26101-075|JGO. ANILLO HYUNDAI GETZ 1.6/ELAN 1.6 0.30 (0.75) TIK R2H7 2.5|ELGTZ|00195|27.3400|23.7700|8.9900||||
23040-26101-100|JGO. ANILLO GETZ 1.6/ELAN 1.6 0.40 (1.00) TIK R2H7 2.5|ELGTZ|00195|27.3400|23.7700|8.9900||||
23040-23972-050|JGO. ANILLO TUCSON 0.20 (0.50) TIK R2H82040|TUCSO|00195|27.1600|23.6200|9.2200||||
23040-23972-075|JGO. ANILLO TUCSON 0.30 (0.75) TIK R2H82040|TUCSO|00195|27.1600|23.6200|9.2200||||
23040-23972-100|JGO. ANILLO TUCSON 0.40 (1.00) TIK R2H82040|TUCSO|00195|27.1600|23.6200|9.2200||||
23040-3C101-STD|JGO.ANILLO HYUNDAI SONATA 3.3 STD TIK R2K92060|OTROS|00195|58.2700|50.6700|14.3600||||
23040-3C101-050|JGO. ANILLO HYUNDAI SONATA 0.20 (0.50) TIK R2K92060|OTROS|00195|58.8500|51.1700|14.3600||||
23040-3C101-075|JGO. ANILLO HYUNDAI SONATA 0.30 (0.75) TIK R2K92060|OTROS|00195|58.8500|51.1700|14.3600||||
23040-25200-050|JGO. ANILLO HYUNDAI H1 09 CADENA 0.20 (0.50) TIK R|H1|00195|43.5200|37.8400|9.2200||||
23040-25200-075|JGO. ANILLO HYUNDAI H1 09 CADENA 0.30 (0.75) TIK R|H1|00195|44.3800|38.5900|9.2200||||
23040-38200-STD|JGO. ANILLO HYUNDAI H1 06 CORREA STD TIK 2H8 R2H86|H1|00195|31.6600|27.5300|9.2200||||
23040-38200-050|JGO. ANILLO HYUNDAI H1 06 CORREA 0.20 (0.50) TIK R|H1|00195|36.6700|31.8900|9.2200||||
23040-38200-075|JGO. ANILLO HYUNDAI H1 06 CORREA 0.30 (0.75) TIK R|H1|00195|36.6700|31.8900|9.2200||||
23040-39500-STD|JGO. ANILLO KIA SORENTO/SEDONA 3.5 STD TIK R2K9303|OTROS|00195|51.8000|45.0400|14.3600||||
23040-39500-050|JGO. ANILLO KIA SORENTO/SEDONA 3.5 0.20 (0.50) TIK|OTROS|00195|64.4500|56.0400|14.3600||||
23040-39500-075|JGO. ANILLO KIA SORENTO/SEDONA 3.5 0.30 (0.75) TIK|OTROS|00195|64.4500|56.0400|14.3600||||
23040-3C200-STD|JGO. ANILLO KIA SORENTO/SEDONA 3.8 STD TIK R2K9601|OTROS|00195|62.1500|54.0400|14.3600||||
