CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000727|D0010325|NC||15/1/2024|15/1/2024|-37,70|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000727|D0010324|CA|35|15/1/2024|7/2/2024|-757,82||CANC.MULT.REC.COB No.
00000727|D0010325|CA|35|15/1/2024|7/2/2024|-150,82||CANC.MULT.REC.COB No.
00000100|D0010160|FC|25|28/11/2023|8/2/2024|842,78||FACTURA D0010160
00000233|D0008030|ND|04|15/1/2024|15/1/2024|1,68|VD003205|
00000729|D0010417|FC|04|15/1/2024|14/2/2024|333,52||FACTURA D0010417
00000310|D0010200|FC|25|4/12/2023|8/2/2024|483,69||FACTURA D0010200
00000436|D0010268|FC|34|11/12/2023|8/2/2024|780,01||FACTURA D0010268
00000436|D0010269|FC|34|11/12/2023|8/2/2024|277,90||FACTURA D0010269
00000393|D0010418|FC|04|15/1/2024|14/2/2024|1028,69||FACTURA D0010418
00000614|D0008344|ND|19|15/1/2024|15/1/2024|11,72|VD003206|
00000704|D0010280|FC|34|11/12/2023|8/2/2024|730,20||FACTURA D0010280
00000704|D0010282|FC|34|11/12/2023|8/2/2024|122,07||FACTURA D0010282
00000393|D0010419|FC|04|15/1/2024|14/2/2024|534,88||FACTURA D0010419
00000275|D0010416|FC|25|12/1/2024|11/2/2024|306,88||FACTURA D0010416
00000014|D0010420|FC|21|15/1/2024|14/2/2024|398,28||FACTURA D0010420
00000061|D0010352|NC||15/1/2024|15/1/2024|-88,02|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000061|D0010352|CA|30|15/1/2024|8/2/2024|-352,09||FACTURA D0010352
00000466|D0010421|FC|33|15/1/2024|14/2/2024|580,93||FACTURA D0010421
00000321|D0010422|FC|02|15/1/2024|14/2/2024|13,99||FACTURA D0010422
00000321|D0010422|NC|02|13/12/2023|13/12/2023|-13,99||DEVOLUCION No. NC000553
00000051|00003008|NC|19|15/1/2024|15/1/2024|-815,03||IVA CORRESPONDIENTE A LA FACTU
00000081|D0010336|NC||15/1/2024|15/1/2024|-30,44|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000081|D0010336|CA|30|15/1/2024|8/2/2024|-121,74||FACTURA D0010336
